Probability of Ototoxicity,Cost,Strategy 1,Strategy 2,Strategy 3,QALY,Strategy 1,Strategy 2,Strategy 3,LY,Strategy 1,Strategy 2,Strategy 3,ICER ($/QALY),Strategy 1,Strategy 2,ICER of Enhanced Clinical Observation compared to NSC,WTP Threshold
0.0131,,5030.234226,4691.849948,4794.523352,,79.97989823,79.98390793,79.98755014,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,28189.8997,50000
0.01328,,5036.710029,4696.821532,4798.128585,,79.97966104,79.98372584,79.98741809,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,27437.74885,50000
0.01346,,5043.185833,4701.793115,4801.733817,,79.97942384,79.98354374,79.98728604,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,26705.71496,50000
0.01364,,5049.661636,4706.764699,4805.33905,,79.97918665,79.98336165,79.98715399,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,25993.00159,50000
0.01382,,5056.13744,4711.736282,4808.944282,,79.97894946,79.98317955,79.98702194,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,25298.85383,50000
0.014,,5062.613243,4716.707866,4812.549515,,79.97871227,79.98299746,79.98688989,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,24622.55558,50000
0.01418,,5069.089046,4721.679449,4816.154747,,79.97847508,79.98281536,79.98675784,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,23963.42708,50000
0.01436,,5075.56485,4726.651032,4819.75998,,79.97823789,79.98263327,79.98662579,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,23320.82269,50000
0.01454,,5082.040653,4731.622616,4823.365212,,79.9780007,79.98245117,79.98649374,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,22694.12872,50000
0.01472,,5088.516456,4736.594199,4826.970445,,79.97776351,79.98226908,79.98636169,,0.999965845,0.999965845,0.999965845,,Strongly Dominated,Baseline,22082.76149,50000
